=== Intra-network pings for net_1 ===
2025/06/28 12:05:30 [net_1] clab-nebula-serf1 (10.0.1.10) → [net_5] clab-nebula-serf18 (10.0.5.10): 11.912ms (test duration: 70ms)
2025/06/28 12:05:30 [net_1] clab-nebula-serf2 (10.0.1.11) → [net_5] clab-nebula-serf18 (10.0.5.10): 18.372ms (test duration: 74ms)
2025/06/28 12:05:30 [net_1] clab-nebula-serf3 (10.0.1.12) → [net_5] clab-nebula-serf18 (10.0.5.10): 16.910ms (test duration: 66ms)
2025/06/28 12:05:30 [net_1] clab-nebula-serf4 (10.0.1.13) → [net_5] clab-nebula-serf18 (10.0.5.10): 15.508ms (test duration: 74ms)
2025/06/28 12:05:30 [net_1] clab-nebula-serf5 (10.0.1.14) → [net_5] clab-nebula-serf18 (10.0.5.10): 15.337ms (test duration: 66ms)
2025/06/28 12:05:31 [net_1] clab-nebula-serf6 (10.0.1.15) → [net_5] clab-nebula-serf18 (10.0.5.10): 11.371ms (test duration: 69ms)
2025/06/28 12:05:31 [net_1] clab-nebula-serf7 (10.0.1.16) → [net_5] clab-nebula-serf18 (10.0.5.10): 11.261ms (test duration: 76ms)
2025/06/28 12:05:31 [net_1] clab-nebula-serf8 (10.0.1.17) → [net_5] clab-nebula-serf18 (10.0.5.10): 12.405ms (test duration: 77ms)
2025/06/28 12:05:31 [net_1] clab-nebula-serf9 (10.0.1.18) → [net_5] clab-nebula-serf18 (10.0.5.10): 9.484ms (test duration: 72ms)
2025/06/28 12:05:31 [net_1] clab-nebula-serf10 (10.0.1.19) → [net_5] clab-nebula-serf18 (10.0.5.10): 8.817ms (test duration: 67ms)
2025/06/28 12:05:31 [net_1] clab-nebula-serf11 (10.0.1.20) → [net_5] clab-nebula-serf18 (10.0.5.10): 8.076ms (test duration: 63ms)
2025/06/28 12:05:31 [net_1] clab-nebula-serf12 (10.0.1.21) → [net_5] clab-nebula-serf18 (10.0.5.10): 12.439ms (test duration: 64ms)
2025/06/28 12:05:31 [net_1] clab-nebula-serf13 (10.0.1.22) → [net_5] clab-nebula-serf18 (10.0.5.10): 9.519ms (test duration: 65ms)
2025/06/28 12:05:31 [net_1] clab-nebula-serf14 (10.0.1.23) → [net_5] clab-nebula-serf18 (10.0.5.10): 11.834ms (test duration: 70ms)
=== Inter-network pings net_1 → net_6 ===
2025/06/28 12:05:31 [net_1] clab-nebula-serf1 (10.0.1.10) → [net_6] clab-nebula-serf19 (10.0.6.10): 12.216ms (test duration: 71ms)
2025/06/28 12:05:31 [net_1] clab-nebula-serf2 (10.0.1.11) → [net_6] clab-nebula-serf19 (10.0.6.10): 18.070ms (test duration: 71ms)
2025/06/28 12:05:31 [net_1] clab-nebula-serf3 (10.0.1.12) → [net_6] clab-nebula-serf19 (10.0.6.10): 16.836ms (test duration: 67ms)
2025/06/28 12:05:31 [net_1] clab-nebula-serf4 (10.0.1.13) → [net_6] clab-nebula-serf19 (10.0.6.10): 16.868ms (test duration: 66ms)
2025/06/28 12:05:31 [net_1] clab-nebula-serf5 (10.0.1.14) → [net_6] clab-nebula-serf19 (10.0.6.10): 15.306ms (test duration: 75ms)
2025/06/28 12:05:32 [net_1] clab-nebula-serf6 (10.0.1.15) → [net_6] clab-nebula-serf19 (10.0.6.10): 10.799ms (test duration: 68ms)
2025/06/28 12:05:32 [net_1] clab-nebula-serf7 (10.0.1.16) → [net_6] clab-nebula-serf19 (10.0.6.10): 11.913ms (test duration: 69ms)
2025/06/28 12:05:32 [net_1] clab-nebula-serf8 (10.0.1.17) → [net_6] clab-nebula-serf19 (10.0.6.10): 11.799ms (test duration: 72ms)
2025/06/28 12:05:32 [net_1] clab-nebula-serf9 (10.0.1.18) → [net_6] clab-nebula-serf19 (10.0.6.10): 9.298ms (test duration: 71ms)
2025/06/28 12:05:32 [net_1] clab-nebula-serf10 (10.0.1.19) → [net_6] clab-nebula-serf19 (10.0.6.10): 9.382ms (test duration: 76ms)
2025/06/28 12:05:32 [net_1] clab-nebula-serf11 (10.0.1.20) → [net_6] clab-nebula-serf19 (10.0.6.10): 7.961ms (test duration: 70ms)
2025/06/28 12:05:32 [net_1] clab-nebula-serf12 (10.0.1.21) → [net_6] clab-nebula-serf19 (10.0.6.10): 13.089ms (test duration: 63ms)
2025/06/28 12:05:32 [net_1] clab-nebula-serf13 (10.0.1.22) → [net_6] clab-nebula-serf19 (10.0.6.10): 9.770ms (test duration: 62ms)
2025/06/28 12:05:32 [net_1] clab-nebula-serf14 (10.0.1.23) → [net_6] clab-nebula-serf19 (10.0.6.10): 12.374ms (test duration: 69ms)
=== Inter-network pings net_1 → net_7 ===
2025/06/28 12:05:32 [net_1] clab-nebula-serf1 (10.0.1.10) → [net_7] clab-nebula-serf20 (10.0.7.10): 28.794ms (test duration: 67ms)
2025/06/28 12:05:32 [net_1] clab-nebula-serf1 (10.0.1.10) → [net_7] clab-nebula-serf21 (10.0.7.11): 24.882ms (test duration: 64ms)
2025/06/28 12:05:32 [net_1] clab-nebula-serf2 (10.0.1.11) → [net_7] clab-nebula-serf20 (10.0.7.10): 34.242ms (test duration: 65ms)
2025/06/28 12:05:32 [net_1] clab-nebula-serf2 (10.0.1.11) → [net_7] clab-nebula-serf21 (10.0.7.11): 32.508ms (test duration: 73ms)
2025/06/28 12:05:32 [net_1] clab-nebula-serf3 (10.0.1.12) → [net_7] clab-nebula-serf20 (10.0.7.10): 30.993ms (test duration: 76ms)
2025/06/28 12:05:32 [net_1] clab-nebula-serf3 (10.0.1.12) → [net_7] clab-nebula-serf21 (10.0.7.11): 32.861ms (test duration: 64ms)
2025/06/28 12:05:33 [net_1] clab-nebula-serf4 (10.0.1.13) → [net_7] clab-nebula-serf20 (10.0.7.10): 32.165ms (test duration: 70ms)
2025/06/28 12:05:33 [net_1] clab-nebula-serf4 (10.0.1.13) → [net_7] clab-nebula-serf21 (10.0.7.11): 30.052ms (test duration: 65ms)
2025/06/28 12:05:33 [net_1] clab-nebula-serf5 (10.0.1.14) → [net_7] clab-nebula-serf20 (10.0.7.10): 31.226ms (test duration: 73ms)
