node,threshold,gt,found,fp,fn,precision,recall,jaccard,hilbert_order
clab-nebula-serf120,45,5,1,0,4,1.0,0.2,0.2,2
clab-nebula-serf125,45,146,48,0,98,1.0,0.3287671232876712,0.3287671232876712,2
clab-nebula-serf130,45,84,11,0,73,1.0,0.13095238095238096,0.13095238095238096,2
clab-nebula-serf135,45,91,11,0,80,1.0,0.12087912087912088,0.12087912087912088,2
clab-nebula-serf140,45,82,11,0,71,1.0,0.13414634146341464,0.13414634146341464,2
clab-nebula-serf145,45,66,4,0,62,1.0,0.06060606060606061,0.06060606060606061,2
clab-nebula-serf150,45,79,9,0,70,1.0,0.11392405063291139,0.11392405063291139,2
clab-nebula-serf155,45,82,8,0,74,1.0,0.0975609756097561,0.0975609756097561,2
clab-nebula-serf160,45,82,14,0,68,1.0,0.17073170731707318,0.17073170731707318,2
clab-nebula-serf1,50,121,84,1,37,0.9882352941176471,0.6942148760330579,0.6885245901639344,2
clab-nebula-serf5,50,118,70,0,48,1.0,0.5932203389830508,0.5932203389830508,2
clab-nebula-serf10,50,129,88,0,41,1.0,0.6821705426356589,0.6821705426356589,2
clab-nebula-serf15,50,151,87,0,64,1.0,0.5761589403973509,0.5761589403973509,2
clab-nebula-serf20,50,124,57,0,67,1.0,0.4596774193548387,0.4596774193548387,2
clab-nebula-serf25,50,124,49,0,75,1.0,0.3951612903225806,0.3951612903225806,2
clab-nebula-serf30,50,128,82,0,46,1.0,0.640625,0.640625,2
clab-nebula-serf35,50,124,47,0,77,1.0,0.3790322580645161,0.3790322580645161,2
clab-nebula-serf40,50,126,50,0,76,1.0,0.3968253968253968,0.3968253968253968,2
clab-nebula-serf45,50,145,75,0,70,1.0,0.5172413793103449,0.5172413793103449,2
clab-nebula-serf50,50,153,80,0,73,1.0,0.5228758169934641,0.5228758169934641,2
clab-nebula-serf55,50,153,83,0,70,1.0,0.5424836601307189,0.5424836601307189,2
clab-nebula-serf60,50,154,84,0,70,1.0,0.5454545454545454,0.5454545454545454,2
clab-nebula-serf65,50,152,63,0,89,1.0,0.4144736842105263,0.4144736842105263,2
clab-nebula-serf70,50,154,95,0,59,1.0,0.6168831168831169,0.6168831168831169,2
clab-nebula-serf75,50,154,70,0,84,1.0,0.45454545454545453,0.45454545454545453,2
clab-nebula-serf80,50,154,88,0,66,1.0,0.5714285714285714,0.5714285714285714,2
clab-nebula-serf85,50,149,51,0,98,1.0,0.3422818791946309,0.3422818791946309,2
clab-nebula-serf90,50,154,74,0,80,1.0,0.4805194805194805,0.4805194805194805,2
clab-nebula-serf95,50,154,72,0,82,1.0,0.4675324675324675,0.4675324675324675,2
clab-nebula-serf100,50,159,30,0,129,1.0,0.18867924528301888,0.18867924528301888,2
clab-nebula-serf105,50,155,26,0,129,1.0,0.16774193548387098,0.16774193548387098,2
clab-nebula-serf110,50,148,9,0,139,1.0,0.060810810810810814,0.060810810810810814,2
clab-nebula-serf115,50,23,0,0,23,0,0.0,0.0,2
clab-nebula-serf120,50,14,3,0,11,1.0,0.21428571428571427,0.21428571428571427,2
clab-nebula-serf125,50,155,59,0,96,1.0,0.38064516129032255,0.38064516129032255,2
clab-nebula-serf130,50,111,14,0,97,1.0,0.12612612612612611,0.12612612612612611,2
clab-nebula-serf135,50,112,14,0,98,1.0,0.125,0.125,2
clab-nebula-serf140,50,108,12,0,96,1.0,0.1111111111111111,0.1111111111111111,2
clab-nebula-serf145,50,104,4,0,100,1.0,0.038461538461538464,0.038461538461538464,2
clab-nebula-serf150,50,117,18,0,99,1.0,0.15384615384615385,0.15384615384615385,2
clab-nebula-serf155,50,117,14,0,103,1.0,0.11965811965811966,0.11965811965811966,2
clab-nebula-serf160,50,118,35,0,83,1.0,0.2966101694915254,0.2966101694915254,2
clab-nebula-serf1,55,133,92,0,41,1.0,0.6917293233082706,0.6917293233082706,2
clab-nebula-serf5,55,121,91,1,30,0.9891304347826086,0.7520661157024794,0.7459016393442623,2
clab-nebula-serf10,55,153,91,0,62,1.0,0.5947712418300654,0.5947712418300654,2
clab-nebula-serf15,55,154,103,0,51,1.0,0.6688311688311688,0.6688311688311688,2
clab-nebula-serf20,55,129,83,0,46,1.0,0.6434108527131783,0.6434108527131783,2
clab-nebula-serf25,55,127,80,0,47,1.0,0.6299212598425197,0.6299212598425197,2
clab-nebula-serf30,55,154,90,0,64,1.0,0.5844155844155844,0.5844155844155844,2
clab-nebula-serf35,55,145,80,0,65,1.0,0.5517241379310345,0.5517241379310345,2
clab-nebula-serf40,55,153,80,0,73,1.0,0.5228758169934641,0.5228758169934641,2
clab-nebula-serf45,55,154,96,0,58,1.0,0.6233766233766234,0.6233766233766234,2
clab-nebula-serf50,55,154,100,0,54,1.0,0.6493506493506493,0.6493506493506493,2
clab-nebula-serf55,55,154,97,0,57,1.0,0.6298701298701299,0.6298701298701299,2
clab-nebula-serf60,55,154,103,0,51,1.0,0.6688311688311688,0.6688311688311688,2
clab-nebula-serf65,55,154,97,0,57,1.0,0.6298701298701299,0.6298701298701299,2
clab-nebula-serf70,55,158,111,0,47,1.0,0.7025316455696202,0.7025316455696202,2
clab-nebula-serf75,55,155,97,0,58,1.0,0.6258064516129033,0.6258064516129033,2
clab-nebula-serf80,55,156,110,0,46,1.0,0.7051282051282052,0.7051282051282052,2
clab-nebula-serf85,55,154,87,0,67,1.0,0.564935064935065,0.564935064935065,2
clab-nebula-serf90,55,155,99,0,56,1.0,0.6387096774193548,0.6387096774193548,2
clab-nebula-serf95,55,154,100,0,54,1.0,0.6493506493506493,0.6493506493506493,2
clab-nebula-serf100,55,160,92,0,68,1.0,0.575,0.575,2
clab-nebula-serf105,55,160,78,0,82,1.0,0.4875,0.4875,2
clab-nebula-serf110,55,154,18,0,136,1.0,0.11688311688311688,0.11688311688311688,2
